experiment_name,__run_id,__done,repetition,sampling,execution_time_ms,cpu_usage_percent,memory_usage_mb,cpu_energy_j
fibonacci_code_func_experiment,run_8_repetition_0,DONE,9,200,0.019,5.939,2911.897,1.21
fibonacci_code_func_experiment,run_9_repetition_0,DONE,10,200,0.018,2.601,2922.948,1.432
rod_cutting_function_experiment,run_0_repetition_0,DONE,1,200,3720.751,9.298,2930.57,53.151
rod_cutting_function_experiment,run_1_repetition_0,DONE,2,200,3732.91,7.103,2920.172,41.136
rod_cutting_function_experiment,run_2_repetition_0,DONE,3,200,3687.498,6.492,2913.462,44.812
rod_cutting_function_experiment,run_3_repetition_0,DONE,4,200,3701.454,6.937,2923.415,41.733
rod_cutting_function_experiment,run_4_repetition_0,DONE,5,200,3679.396,7.079,2919.823,44.469
rod_cutting_function_experiment,run_5_repetition_0,DONE,6,200,3681.114,7.13,2916.225,44.832
rod_cutting_function_experiment,run_6_repetition_0,DONE,7,200,3669.139,6.965,2913.571,43.321
rod_cutting_function_experiment,run_7_repetition_0,DONE,8,200,3689.853,7.002,2914.638,44.207
rod_cutting_function_experiment,run_8_repetition_0,DONE,9,200,3686.2,7.046,2914.36,44.718
rod_cutting_function_experiment,run_9_repetition_0,DONE,10,200,3711.084,6.958,2912.802,41.598
levenshtein_distance_function_experiment,run_0_repetition_0,DONE,1,200,3888.16,7.425,2939.238,89.211
levenshtein_distance_function_experiment,run_1_repetition_0,DONE,2,200,3867.733,7.126,2927.147,84.331
levenshtein_distance_function_experiment,run_2_repetition_0,DONE,3,200,3941.462,7.086,2932.349,86.674
levenshtein_distance_function_experiment,run_3_repetition_0,DONE,4,200,3884.128,6.883,2929.334,94.256
levenshtein_distance_function_experiment,run_4_repetition_0,DONE,5,200,3887.879,6.828,2916.529,93.374
levenshtein_distance_function_experiment,run_5_repetition_0,DONE,6,200,3938.389,6.976,2924.456,94.908
levenshtein_distance_function_experiment,run_6_repetition_0,DONE,7,200,3892.509,7.164,2920.365,94.224
levenshtein_distance_function_experiment,run_7_repetition_0,DONE,8,200,3869.953,6.989,2931.375,93.645
levenshtein_distance_function_experiment,run_8_repetition_0,DONE,9,200,3911.866,7.077,2924.389,89.287
levenshtein_distance_function_experiment,run_9_repetition_0,DONE,10,200,3861.686,6.979,2927.968,90.458
floyd_code_function_experiment,run_0_repetition_0,DONE,1,200,0.01,7.759,2948.311,70.596
floyd_code_function_experiment,run_1_repetition_0,DONE,2,200,0.012,7.198,2907.049,68.218
floyd_code_function_experiment,run_2_repetition_0,DONE,3,200,0.011,6.897,2895.784,66.685
