experiment_name,repetition,execution_time_ms,cpu_usage_percent,memory_usage_mb,cpu_energy_j,base_algo,optimize_method
fibonacci_code_function_experiment,3,0.018,4.541,2926.431,1.21,fibonacci,"code,function"
fibonacci_code_function_experiment,4,0.019,5.934,2928.372,1.447,fibonacci,"code,function"
fibonacci_code_function_experiment,5,0.018,3.465,2927.181,1.293,fibonacci,"code,function"
fibonacci_code_function_experiment,6,0.019,5.639,2930.979,1.29,fibonacci,"code,function"
fibonacci_code_function_experiment,7,0.019,6.033,2916.535,1.379,fibonacci,"code,function"
fibonacci_code_function_experiment,8,0.02,6.131,2928.411,1.35,fibonacci,"code,function"
fibonacci_code_function_experiment,9,0.019,5.939,2911.897,1.21,fibonacci,"code,function"
fibonacci_code_function_experiment,10,0.018,2.601,2922.948,1.432,fibonacci,"code,function"
rod_cutting_function_experiment,1,3720.751,9.298,2930.57,53.151,rod_cutting,function
rod_cutting_function_experiment,2,3732.91,7.103,2920.172,41.136,rod_cutting,function
rod_cutting_function_experiment,3,3687.498,6.492,2913.462,44.812,rod_cutting,function
rod_cutting_function_experiment,4,3701.454,6.937,2923.415,41.733,rod_cutting,function
rod_cutting_function_experiment,5,3679.396,7.079,2919.823,44.469,rod_cutting,function
rod_cutting_function_experiment,6,3681.114,7.13,2916.225,44.832,rod_cutting,function
rod_cutting_function_experiment,7,3669.139,6.965,2913.571,43.321,rod_cutting,function
rod_cutting_function_experiment,8,3689.853,7.002,2914.638,44.207,rod_cutting,function
rod_cutting_function_experiment,9,3686.2,7.046,2914.36,44.718,rod_cutting,function
rod_cutting_function_experiment,10,3711.084,6.958,2912.802,41.598,rod_cutting,function
levenshtein_distance_function_experiment,1,3888.16,7.425,2939.238,89.211,levenshtein_distance,function
levenshtein_distance_function_experiment,2,3867.733,7.126,2927.147,84.331,levenshtein_distance,function
levenshtein_distance_function_experiment,3,3941.462,7.086,2932.349,86.674,levenshtein_distance,function
levenshtein_distance_function_experiment,4,3884.128,6.883,2929.334,94.256,levenshtein_distance,function
levenshtein_distance_function_experiment,5,3887.879,6.828,2916.529,93.374,levenshtein_distance,function
levenshtein_distance_function_experiment,6,3938.389,6.976,2924.456,94.908,levenshtein_distance,function
levenshtein_distance_function_experiment,7,3892.509,7.164,2920.365,94.224,levenshtein_distance,function
levenshtein_distance_function_experiment,8,3869.953,6.989,2931.375,93.645,levenshtein_distance,function
levenshtein_distance_function_experiment,9,3911.866,7.077,2924.389,89.287,levenshtein_distance,function
levenshtein_distance_function_experiment,10,3861.686,6.979,2927.968,90.458,levenshtein_distance,function
floyd_code_functiontion_experiment,1,0.01,7.759,2948.311,70.596,floyd,"code,function"
floyd_code_functiontion_experiment,2,0.012,7.198,2907.049,68.218,floyd,"code,function"
floyd_code_functiontion_experiment,3,0.011,6.897,2895.784,66.685,floyd,"code,function"
floyd_code_functiontion_experiment,4,0.011,6.742,2890.296,66.943,floyd,"code,function"
floyd_code_functiontion_experiment,5,0.011,7.239,2887.879,68.936,floyd,"code,function"
floyd_code_functiontion_experiment,6,0.011,6.867,2893.974,69.989,floyd,"code,function"
floyd_code_functiontion_experiment,7,0.011,7.035,2905.255,66.793,floyd,"code,function"
floyd_code_functiontion_experiment,8,0.01,7.382,2899.372,68.283,floyd,"code,function"
floyd_code_functiontion_experiment,9,0.011,7.042,2897.564,68.535,floyd,"code,function"
floyd_code_functiontion_experiment,10,0.012,6.996,2892.284,67.568,floyd,"code,function"
rod_cutting_object_experiment,1,6217.417,7.279,2987.973,78.07,rod_cutting,object
rod_cutting_object_experiment,2,6407.325,6.805,2960.024,77.957,rod_cutting,object
rod_cutting_object_experiment,3,6236.176,6.947,2926.754,75.267,rod_cutting,object
rod_cutting_object_experiment,4,6238.186,6.92,2923.679,76.158,rod_cutting,object
rod_cutting_object_experiment,5,6236.61,6.934,2922.987,75.645,rod_cutting,object
rod_cutting_object_experiment,6,6238.77,7.304,2917.544,76.077,rod_cutting,object
rod_cutting_object_experiment,7,6532.092,6.906,2914.411,71.066,rod_cutting,object
rod_cutting_object_experiment,8,6296.964,6.865,2915.091,72.408,rod_cutting,object
rod_cutting_object_experiment,9,6251.823,7.191,2919.687,76.988,rod_cutting,object
rod_cutting_object_experiment,10,6229.141,6.974,2923.256,78.666,rod_cutting,object
matrix_chain_order_native_experiment,1,984.492,13.75,2941.677,20.639,matrix_chain_order,native
matrix_chain_order_native_experiment,2,968.07,13.567,2933.522,18.739,matrix_chain_order,native
matrix_chain_order_native_experiment,3,983.87,12.72,2964.389,18.845,matrix_chain_order,native
matrix_chain_order_native_experiment,4,984.723,12.899,3002.719,18.266,matrix_chain_order,native
matrix_chain_order_native_experiment,5,984.192,12.93,2968.955,18.256,matrix_chain_order,native
matrix_chain_order_native_experiment,6,978.986,13.66,2996.034,18.398,matrix_chain_order,native
matrix_chain_order_native_experiment,7,985.489,13.682,2976.537,19.017,matrix_chain_order,native
matrix_chain_order_native_experiment,8,986.308,13.501,2960.144,18.845,matrix_chain_order,native
matrix_chain_order_native_experiment,9,998.255,20.688,2966.634,18.922,matrix_chain_order,native
matrix_chain_order_native_experiment,10,978.296,12.851,2949.145,18.247,matrix_chain_order,native
levenshtein_distance_native_experiment,1,45.505,19.044,2968.531,11.13,levenshtein_distance,native
levenshtein_distance_native_experiment,2,45.584,17.662,2944.79,9.365,levenshtein_distance,native
levenshtein_distance_native_experiment,3,45.571,17.721,2964.042,9.286,levenshtein_distance,native
levenshtein_distance_native_experiment,4,45.64,16.483,2967.221,8.759,levenshtein_distance,native
levenshtein_distance_native_experiment,5,45.469,19.641,2987.848,8.002,levenshtein_distance,native
levenshtein_distance_native_experiment,6,45.471,29.606,3008.136,9.322,levenshtein_distance,native
levenshtein_distance_native_experiment,7,45.486,17.762,3021.611,9.239,levenshtein_distance,native
levenshtein_distance_native_experiment,8,45.478,18.59,2982.526,8.054,levenshtein_distance,native
levenshtein_distance_native_experiment,9,45.512,16.621,3033.598,9.309,levenshtein_distance,native
levenshtein_distance_native_experiment,10,45.529,20.105,3030.266,10.063,levenshtein_distance,native
matrix_chain_multiplication_code_experiment,1,11607.448,6.883,2939.133,262.067,matrix_chain_multiplication,code
matrix_chain_multiplication_code_experiment,2,11480.198,6.793,2934.2,272.234,matrix_chain_multiplication,code
matrix_chain_multiplication_code_experiment,3,11491.401,6.625,2929.151,268.157,matrix_chain_multiplication,code
matrix_chain_multiplication_code_experiment,4,12364.723,6.735,2933.901,271.651,matrix_chain_multiplication,code
matrix_chain_multiplication_code_experiment,5,11720.232,6.823,2932.041,277.5,matrix_chain_multiplication,code
matrix_chain_multiplication_code_experiment,6,11773.313,6.91,2931.74,261.413,matrix_chain_multiplication,code
matrix_chain_multiplication_code_experiment,7,11554.967,6.839,2921.812,269.418,matrix_chain_multiplication,code
matrix_chain_multiplication_code_experiment,8,11468.356,6.84,2938.925,265.914,matrix_chain_multiplication,code
matrix_chain_multiplication_code_experiment,9,11399.137,6.766,2935.389,261.919,matrix_chain_multiplication,code
matrix_chain_multiplication_code_experiment,10,11773.108,6.787,2936.434,267.306,matrix_chain_multiplication,code
floyd_code_experiment,1,6381.99,7.277,2865.504,80.07,floyd,code
floyd_code_experiment,2,6393.875,7.04,2870.567,78.181,floyd,code
floyd_code_experiment,3,6398.193,6.973,2858.39,77.278,floyd,code
floyd_code_experiment,4,6374.279,7.008,2854.598,75.018,floyd,code
floyd_code_experiment,5,6412.436,6.704,2866.126,76.039,floyd,code
floyd_code_experiment,6,6401.047,6.962,2859.936,76.219,floyd,code
floyd_code_experiment,7,6416.152,7.067,2866.268,77.106,floyd,code
floyd_code_experiment,8,6392.76,6.71,2862.493,77.357,floyd,code
floyd_code_experiment,9,6412.607,7.083,2871.607,77.437,floyd,code
floyd_code_experiment,10,6439.794,6.952,2863.583,73.173,floyd,code
floyd_native_experiment,1,239.565,18.409,2960.708,11.308,floyd,native
floyd_native_experiment,2,228.948,16.743,2971.796,9.831,floyd,native
